Year;MonthOfYear;DayOfMonth;HourOfDay(UTC);DayOfYear;DayOfCentury;AirPressure(hPa);AirTemperature(C);AirTemperatureHygroClip(C);RelativeHumidity_wrtWater(%);RelativeHumidity(%);WindSpeed(m/s);WindDirection(d);ShortwaveRadiationDown(W/m2);ShortwaveRadiationDown_Cor(W/m2);ShortwaveRadiationUp(W/m2);ShortwaveRadiationUp_Cor(W/m2);Albedo_theta<70d;LongwaveRadiationDown(W/m2);LongwaveRadiationUp(W/m2);CloudCover;SurfaceTemperature(C);HeightSensorBoom(m);HeightStakes(m);DepthPressureTransducer(m);DepthPressureTransducer_Cor(m);IceTemperature1(C);IceTemperature2(C);IceTemperature3(C);IceTemperature4(C);IceTemperature5(C);IceTemperature6(C);IceTemperature7(C);IceTemperature8(C);TiltToEast(d);TiltToNorth(d);TimeGPS(hhmmssUTC);LatitudeGPS((dd)mm.mmmmm);LongitudeGPS((dd)mm.mmmmm);ElevationGPS(m);HorDilOfPrecGPS;LoggerTemperature(C);FanCurrent(mA);BatteryVoltage(V)
2020;9;16;0;-999;-999;847;-4.14;35.1;90.8;90.8;17.19;147.8;0;-999;.1;-999;-999;-13.5;-1.8;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999
2020;9;16;1;-999;-999;846;-4.25;35;89.2;89.2;16.03;144.4;-.3;-999;0;-999;-999;-17.4;-2.2;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999
2020;9;16;2;-999;-999;847;-4.11;35.09;88.2;88.2;15;148.3;-.2;-999;-.1;-999;-999;-15.5;-2.4;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999
2020;9;16;3;-999;-999;846;-4.31;34.95;88.7;88.7;15.42;150.5;-.5;-999;-.1;-999;-999;-25.2;-2.5;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999
2020;9;16;4;-999;-999;846;-4.3;34.95;88;88;14.57;155.8;-.3;-999;.1;-999;-999;-18.3;-2.5;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999
2020;9;16;5;-999;-999;846;-4.21;35.01;87;87;14.76;152.6;-.3;-999;.1;-999;-999;-20.5;-2.6;-999;-999;2.54;1.078;-9999;-999;-32.75;-31.77;-32.12;-32.89;-33.71;-34.22;-34.69;-35.15;-2.93;2.95;-999;-999;-999;1266;.8;-999;138;12.78
2020;9;16;6;-999;-999;846;-4.09;35.21;85.3;85.3;13.96;152.4;.1;-999;.1;-999;-999;-11.5;-2.8;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999
2020;9;16;7;-999;-999;846;-3.98;35.26;84;84;13.18;157.7;-.2;-999;.3;-999;-999;-16.5;-3.2;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999
2020;9;16;8;-999;-999;846;-4.16;35.12;84.8;84.8;12.22;161.8;3.2;-999;3.5;-999;-999;-38;-4.2;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999
2020;9;16;9;-999;-999;846;-3.67;35.62;82.7;82.7;11.37;164.6;35.3;-999;28.6;-999;-999;-22.4;-4.4;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999
2020;9;16;10;-999;-999;847;-3.31;36.03;86.3;86.3;11.48;162.4;92.5;-999;74.3;-999;-999;-13.1;-3.9;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999
2020;9;16;11;-999;-999;846;-2.9;36.6;81.8;81.8;9.85;164.6;186.4;-999;150.5;-999;-999;-33.6;-7;-999;-999;2.445;1.088;-9999;-999;-32.67;-31.77;-32.08;-32.85;-33.64;-34.18;-34.65;-35.08;-2.79;3.03;-999;-999;-999;1265;.9;-999;132;13.31
2020;9;16;12;-999;-999;846;-2.6;37.09;83.1;83.1;10.14;171.7;291.7;-999;239.1;-999;-999;-32.5;-7.3;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999
2020;9;16;13;-999;-999;846;-2.01;37.7;82;82;10.03;169.3;259.9;-999;210.1;-999;-999;-21.6;-6.4;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999
2020;9;16;14;-999;-999;846;-1.72;38.04;78.7;78.7;8.48;172;266.1;-999;211.1;-999;-999;-20.7;-7.2;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999
2020;9;16;15;-999;-999;846;-1.34;38.48;78.6;78.6;7.18;172.3;320.1;-999;253.2;-999;-999;-27.8;-8.6;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999
2020;9;16;16;-999;-999;847;-.94;39;79.4;79.4;6.48;192.6;295.5;-999;233.1;-999;-999;-32.9;-10;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999
2020;9;16;17;-999;-999;847;-1.32;38.63;86.6;86.6;4.71;203.5;224.1;-999;177.7;-999;-999;-25.6;-9.2;-999;-999;2.364;1.094;-9999;-999;-32.56;-31.74;-32.04;-32.81;-33.58;-34.14;-34.58;-35.03;-2.71;2.75;-999;-999;-999;1263;.8;-999;147;14.41
2020;9;16;18;-999;-999;848;-2.26;37.54;94.8;94.8;2.78;298.6;198.7;-999;158.4;-999;-999;-24.5;-7.6;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999
